source,title,authors,journal,year,doi,pmid,source_url,meta,snippet,rank
scholar,[HTML] Telemedicine-Supported CPAP Therapy in Patients with Obstructive Sleep Apnea: Association with Treatment Adherence and Clinical Outcomes,"N Wellmann, VM Ancusa, MS Marc…",Journal of Clinical …,2025,,,https://www.mdpi.com/2077-0383/14/15/5339,"N Wellmann, VM Ancusa, MS Marc… - Journal of Clinical …, 2025 - mdpi.com","… In particular, CPAP (continuous positive airway pressure) therapy… via the AirView™ platform and monthly adherence interventions, … to precision medicine in sleep disorder management. …",1
scholar,Patient engagement using new technology to improve adherence to positive airway pressure therapy: a retrospective analysis,"A Malhotra, ME Crocker, L Willes, C Kelly, S Lynch…",Chest,2018,,,https://www.sciencedirect.com/science/article/pii/s0012369217330738,"A Malhotra, ME Crocker, L Willes, C Kelly, S Lynch… - Chest, 2018 - Elsevier",… We performed a retrospective analysis of the AirView (usual … therapy for patients with sleep-disordered breathing. myAir was … assume responsibility for the accuracy and completeness …,2
scholar,Using the remote monitoring framework to promote adherence to continuous positive airway pressure,"BT Keenan, RJ Schwab",Sleep Medicine Clinics,2021,,,https://www.sleep.theclinics.com/article/s1556-407x(20)30107-7/abstract,"BT Keenan, RJ Schwab - Sleep Medicine Clinics, 2021 - sleep.theclinics.com","… Importantly, these measures are more accurate and more … In investigations using the AirView and myAir resources from … and colleagues 32 leveraged the AirView and myAir cloud-…",3
scholar,"Effect of self-viewing of sleep-apnoea videos on positive airway pressure adherence in moderate to severe obstructive sleep apnoea: a prospective, parallel-group …","KT Kim, NH Son, YW Cho",Journal of Clinical Sleep Medicine,2026,10.1007/s44470-025-00019-x,,https://link.springer.com/article/10.1007/s44470-025-00019-x,"KT Kim, NH Son, YW Cho - Journal of Clinical Sleep Medicine, 2026 - Springer","… sleep-disordered breathing events, extracted from diagnostic polysomnography, significantly improves positive airway pressure adherence. … rapid eye movement sleep disorder), severe …",4
scholar,Relationship between self-reported sleepiness and positive airway pressure treatment adherence in obstructive sleep apnea,"PA Cistulli, JP Armitstead, A Malhotra…",Annals of the …,2023,,,https://academic.oup.com/annalsats/article-abstract/20/8/1201/8414770,"PA Cistulli, JP Armitstead, A Malhotra… - Annals of the …, 2023 - academic.oup.com",… of adherence rates were extracted from the AirView database… in nonsleepy patients with sleep-disordered breathing (28–30)… assume responsibility for the accuracy and completeness of …,5
scholar,The association between obstructive sleep apnea severity and sleep architecture measured with non-contact radar technology in primary investigation and follow-up …,"V Fossland, S Toften, IK Hals, HS Haugdahl, OK Thu…",Plos one,2025,10.1371/journal.pone.0319606,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0319606,"V Fossland, S Toften, IK Hals, HS Haugdahl, OK Thu… - Plos one, 2025 - journals.plos.org",… positive airway pressure (CPAP) therapy on objective sleep classification measurements. … -up with AirView TM (ResMed) to collect therapy data such as adherence and residual REI. …,6
scholar,Association between positive airway pressure therapy adherence and health care resource utilization in patients with obstructive sleep apnea and type 2 diabetes in …,"KL Sterling, PA Cistulli, W Linde-Zwirble…",… of Clinical Sleep …,2023,10.5664/jcsm.10388,,https://jcsm.aasm.org/doi/abs/10.5664/jcsm.10388,"KL Sterling, PA Cistulli, W Linde-Zwirble… - … of Clinical Sleep …, 2023 - jcsm.aasm.org",… The AirView and Inovalon datasets were linked through a tokenization process via a third-party health data connectivity company. Irreversible encrypted tokens for each dataset were …,7
scholar,Accuracy of positive airway pressure titration through telemonitoring of auto‐adjusting positive airway pressure device connected to a pulse oximetry in patients with …,"A Foresi, T Vitale, R Prestigiacomo…",… Clinical Respiratory …,2023,10.1111/crj.13658,,https://onlinelibrary.wiley.com/doi/abs/10.1111/crj.13658,"A Foresi, T Vitale, R Prestigiacomo… - … Clinical Respiratory …, 2023 - Wiley Online Library",… the International Classification of Sleep Disorders- 3rd edition… setting (AirView ResMed platform). The possible therapeutic … a greater adherence to therapy as well as fewer side effects. …,8
scholar,Diagnostic modalities in sleep disordered breathing: current and emerging technology and its potential to transform diagnostics,"L Pinilla, CL Chai‐Coetzer, DJ Eckert",Respirology,2025,10.1111/resp.70012,,https://onlinelibrary.wiley.com/doi/abs/10.1111/resp.70012,"L Pinilla, CL Chai‐Coetzer, DJ Eckert - Respirology, 2025 - Wiley Online Library","… upper airway collapse episodes lasting > 10 s per hour of sleep. … accuracy in terms of the agreement in the number of sleep- … of life measures, treatment adherence, and significant within…",9
scholar,Study on adherence to positive airway pressure treatment for patients with obstructive sleep apnea using real-world big data in a telemedicine management system,"H Yi, S Shang, Y Zhang, C Zhang, L Xu, J Wang, X He…",Methods,2022,,,https://www.sciencedirect.com/science/article/pii/s1046202322000950,"H Yi, S Shang, Y Zhang, C Zhang, L Xu, J Wang, X He… - Methods, 2022 - Elsevier","… the objective adherence to PAP use. The purpose of this study is to assess the adherence to … management system which could fulfill automatic transmission of PAP treatment data. First, …",10
